pokedex_number,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying
46,2,1,1,0.5,1,0.5,4,4
47,2,1,1,0.5,1,0.5,4,4
48,0.5,1,1,1,0.5,0.25,2,2
49,0.5,1,1,1,0.5,0.25,2,2
50,1,1,1,0,1,1,1,1
51,1,1,1,0,1,1,1,1
52,1,1,1,1,1,2,1,1
53,1,1,1,1,1,2,1,1
54,1,1,1,2,1,1,0.5,1
55,1,1,1,2,1,1,0.5,1
56,0.5,0.5,1,1,2,1,1,2
57,0.5,0.5,1,1,2,1,1,2
58,0.5,1,1,1,0.5,1,0.5,1
59,0.5,1,1,1,0.5,1,0.5,1
60,1,1,1,2,1,1,0.5,1
61,1,1,1,2,1,1,0.5,1
62,0.5,0.5,1,2,2,1,0.5,2
63,2,2,1,1,1,0.5,1,1
64,2,2,1,1,1,0.5,1,1
65,2,2,1,1,1,0.5,1,1
66,0.5,0.5,1,1,2,1,1,2
67,0.5,0.5,1,1,2,1,1,2
68,0.5,0.5,1,1,2,1,1,2
69,1,1,1,0.5,0.5,0.5,2,2
70,1,1,1,0.5,0.5,0.5,2,2
71,1,1,1,0.5,0.5,0.5,2,2
72,0.5,1,1,2,0.5,0.5,0.5,1
73,0.5,1,1,2,0.5,0.5,0.5,1
74,1,1,1,0,1,2,0.5,0.5
75,1,1,1,0,1,2,0.5,0.5
76,1,1,1,0,1,2,0.5,0.5
77,0.5,1,1,1,0.5,1,0.5,1
78,0.5,1,1,1,0.5,1,0.5,1
79,2,2,1,2,1,0.5,0.5,1
80,2,2,1,2,1,0.5,0.5,1
81,0.5,1,0.5,0.5,0.5,2,2,0.25
82,0.5,1,0.5,0.5,0.5,2,2,0.25
83,0.5,1,1,2,1,1,1,1
84,0.5,1,1,2,1,1,1,1
85,0.5,1,1,2,1,1,1,1
86,1,1,1,2,1,1,0.5,1
87,1,1,1,2,1,2,1,1
88,0.5,1,1,1,0.5,0.5,1,1
89,0.5,1,1,1,0.5,0.5,1,1
90,1,1,1,2,1,1,0.5,1
91,1,1,1,2,1,2,1,1
92,0.25,2,1,1,0.5,0,1,1
93,0.25,2,1,1,0.5,0,1,1
94,0.25,2,1,1,0.5,0,1,1
95,1,1,1,0,1,2,0.5,0.5
96,2,2,1,1,1,0.5,1,1
97,2,2,1,1,1,0.5,1,1
98,1,1,1,2,1,1,0.5,1
99,1,1,1,2,1,1,0.5,1
100,1,1,1,0.5,1,1,1,0.5
101,1,1,1,0.5,1,1,1,0.5
102,4,2,1,0.5,1,0.5,2,2
103,4,2,1,0.5,1,0.5,2,2
104,1,1,1,0,1,1,1,1
105,1,1,1,0,1,1,1,1
106,0.5,0.5,1,1,2,1,1,2
107,0.5,0.5,1,1,2,1,1,2
108,1,1,1,1,1,2,1,1
109,0.5,1,1,1,0.5,0.5,1,1
110,0.5,1,1,1,0.5,0.5,1,1
111,1,1,1,0,1,2,0.5,0.5
112,1,1,1,0,1,2,0.5,0.5
113,1,1,1,1,1,2,1,1
114,2,1,1,0.5,1,1,2,2
115,1,1,1,1,1,2,1,1
116,1,1,1,2,1,1,0.5,1
117,1,1,1,2,1,1,0.5,1
118,1,1,1,2,1,1,0.5,1
119,1,1,1,2,1,1,0.5,1
120,1,1,1,2,1,1,0.5,1
121,2,2,1,2,1,0.5,0.5,1
122,1,1,0,1,1,0.25,1,1
123,0.5,1,1,2,1,0.25,2,2
124,2,2,1,1,1,1,2,1
125,1,1,1,0.5,1,1,1,0.5
126,0.5,1,1,1,0.5,1,0.5,1
127,1,1,1,1,1,0.5,2,2
128,1,1,1,1,1,2,1,1
129,1,1,1,2,1,1,0.5,1
130,0.5,1,1,4,1,0.5,0.5,1
131,1,1,1,2,1,2,1,1
132,1,1,1,1,1,2,1,1
133,1,1,1,1,1,2,1,1
134,1,1,1,2,1,1,0.5,1
135,1,1,1,0.5,1,1,1,0.5
136,0.5,1,1,1,0.5,1,0.5,1
137,1,1,1,1,1,2,1,1
138,1,1,1,2,1,2,0.25,0.5
139,1,1,1,2,1,2,0.25,0.5
140,1,1,1,2,1,2,0.25,0.5
141,1,1,1,2,1,2,0.25,0.5
142,0.5,1,1,2,1,1,0.5,0.5
143,1,1,1,1,1,2,1,1
144,0.5,1,1,2,1,1,2,1
145,0.5,1,1,1,1,0.5,1,0.5
146,0.25,1,1,2,0.5,0.5,0.5,1
147,1,1,2,0.5,2,1,0.5,1
148,1,1,2,0.5,2,1,0.5,1
149,0.5,1,2,1,2,0.5,0.5,1
150,2,2,1,1,1,0.5,1,1
151,2,2,1,1,1,0.5,1,1
152,2,1,1,0.5,1,1,2,2
153,2,1,1,0.5,1,1,2,2
154,2,1,1,0.5,1,1,2,2
155,0.5,1,1,1,0.5,1,0.5,1
156,0.5,1,1,1,0.5,1,0.5,1
157,0.5,1,1,1,0.5,1,0.5,1
158,1,1,1,2,1,1,0.5,1
159,1,1,1,2,1,1,0.5,1
160,1,1,1,2,1,1,0.5,1
161,1,1,1,1,1,2,1,1
162,1,1,1,1,1,2,1,1
163,0.5,1,1,2,1,1,1,1
164,0.5,1,1,2,1,1,1,1
165,0.5,1,1,2,1,0.25,2,2
166,0.5,1,1,2,1,0.25,2,2
167,0.5,1,1,1,0.5,0.25,2,2
168,0.5,1,1,1,0.5,0.25,2,2
169,0.25,1,1,2,0.5,0.25,1,1
170,1,1,1,1,1,1,0.5,0.5
171,1,1,1,1,1,1,0.5,0.5
172,1,1,1,0.5,1,1,1,0.5
173,0.5,0.5,0,1,1,0.5,1,1
174,0.5,0.5,0,1,1,1,1,1
175,0.5,0.5,0,1,1,0.5,1,1
176,0.25,0.5,0,2,1,0.25,1,1
177,1,2,1,2,1,0.25,1,1
178,1,2,1,2,1,0.25,1,1
179,1,1,1,0.5,1,1,1,0.5
180,1,1,1,0.5,1,1,1,0.5
181,1,1,1,0.5,1,1,1,0.5
182,2,1,1,0.5,1,1,2,2
183,0.5,0.5,0,2,1,0.5,0.5,1
184,0.5,0.5,0,2,1,0.5,0.5,1
185,1,1,1,1,1,2,0.5,0.5
186,1,1,1,2,1,1,0.5,1
187,1,1,1,1,1,0.5,2,2
188,1,1,1,1,1,0.5,2,2
189,1,1,1,1,1,0.5,2,2
190,1,1,1,1,1,2,1,1
191,2,1,1,0.5,1,1,2,2
192,2,1,1,0.5,1,1,2,2
193,0.5,1,1,2,1,0.25,2,2
194,1,1,1,0,1,1,0.5,1
195,1,1,1,0,1,1,0.5,1
196,2,2,1,1,1,0.5,1,1
197,2,0.5,1,1,2,2,1,1
198,1,0.5,1,2,2,1,1,1
199,2,2,1,2,1,0.5,0.5,1
200,0.5,2,1,1,1,0,1,1
201,2,2,1,1,1,0.5,1,1
202,2,2,1,1,1,0.5,1,1
203,2,2,1,1,1,1,1,1
204,1,1,1,1,1,0.5,2,2
205,0.5,1,0.5,1,0.5,1,4,1
206,1,1,1,1,1,2,1,1
207,0.5,1,1,0,1,0.5,1,1
208,0.5,1,0.5,0,0.5,2,2,0.5
209,0.5,0.5,0,1,1,0.5,1,1
210,0.5,0.5,0,1,1,0.5,1,1
211,0.5,1,1,2,0.5,0.5,0.5,1
212,0.5,1,0.5,1,0.5,1,4,1
213,1,1,1,1,1,1,1,1
214,0.5,0.5,1,1,2,0.5,2,4
215,2,0.5,1,1,2,4,2,1
216,1,1,1,1,1,2,1,1
217,1,1,1,1,1,2,1,1
218,0.5,1,1,1,0.5,1,0.5,1
219,0.5,1,1,1,0.5,2,0.25,0.5
220,1,1,1,0,1,2,2,1
221,1,1,1,0,1,2,2,1
222,1,1,1,2,1,2,0.25,0.5
223,1,1,1,2,1,1,0.5,1
224,1,1,1,2,1,1,0.5,1
225,0.5,1,1,2,1,1,2,1
226,0.5,1,1,4,1,0.5,0.5,1
227,0.25,1,0.5,2,0.5,1,2,0.5
228,1,0.5,1,1,1,2,0.5,1
229,1,0.5,1,1,1,2,0.5,1
230,1,1,2,1,2,1,0.25,1
231,1,1,1,0,1,1,1,1
232,1,1,1,0,1,1,1,1
233,1,1,1,1,1,2,1,1
234,1,1,1,1,1,2,1,1
235,1,1,1,1,1,2,1,1
236,0.5,0.5,1,1,2,1,1,2
237,0.5,0.5,1,1,2,1,1,2
238,2,2,1,1,1,1,2,1
239,1,1,1,0.5,1,1,1,0.5
240,0.5,1,1,1,0.5,1,0.5,1
241,1,1,1,1,1,2,1,1
242,1,1,1,1,1,2,1,1
243,1,1,1,0.5,1,1,1,0.5
244,0.5,1,1,1,0.5,1,0.5,1
245,1,1,1,2,1,1,0.5,1
246,1,1,1,0,1,2,0.5,0.5
247,1,1,1,0,1,2,0.5,0.5
248,2,0.5,1,1,2,4,0.5,0.5
249,1,2,1,2,1,0.25,1,1
250,0.25,1,1,2,0.5,0.5,0.5,1
251,4,2,1,0.5,1,0.5,2,2
252,2,1,1,0.5,1,1,2,2
253,2,1,1,0.5,1,1,2,2
254,2,1,1,0.5,1,1,2,2
255,0.5,1,1,1,0.5,1,0.5,1
256,0.25,0.5,1,1,1,1,0.5,2
257,0.25,0.5,1,1,1,1,0.5,2
258,1,1,1,2,1,1,0.5,1
259,1,1,1,0,1,1,0.5,1
260,1,1,1,0,1,1,0.5,1
261,2,0.5,1,1,2,2,1,1
262,2,0.5,1,1,2,2,1,1
263,1,1,1,1,1,2,1,1
264,1,1,1,1,1,2,1,1
265,1,1,1,1,1,0.5,2,2
266,1,1,1,1,1,0.5,2,2
267,0.5,1,1,2,1,0.25,2,2
268,1,1,1,1,1,0.5,2,2
269,0.5,1,1,1,0.5,0.25,2,2
270,2,1,1,1,1,1,1,2
271,2,1,1,1,1,1,1,2
272,2,1,1,1,1,1,1,2
273,2,1,1,0.5,1,1,2,2
274,4,0.5,1,0.5,2,2,2,2
275,4,0.5,1,0.5,2,2,2,2
276,0.5,1,1,2,1,1,1,1
277,0.5,1,1,2,1,1,1,1
278,0.5,1,1,4,1,0.5,0.5,1
279,0.5,1,1,4,1,0.5,0.5,1
280,1,1,0,1,1,0.25,1,1
281,1,1,0,1,1,0.25,1,1
282,1,1,0,1,1,0.25,1,1
283,1,1,1,2,1,0.5,1,2
284,0.5,1,1,2,1,0.25,2,2
285,2,1,1,0.5,1,1,2,2
286,1,0.5,1,0.5,2,1,2,4
287,1,1,1,1,1,2,1,1
288,1,1,1,1,1,2,1,1
289,1,1,1,1,1,2,1,1
290,1,1,1,0,1,0.5,2,2
291,0.5,1,1,2,1,0.25,2,2
292,0.5,2,1,1,1,0,2,2
293,1,1,1,1,1,2,1,1
294,1,1,1,1,1,2,1,1
295,1,1,1,1,1,2,1,1
296,0.5,0.5,1,1,2,1,1,2
297,0.5,0.5,1,1,2,1,1,2
298,0.5,0.5,0,1,1,1,1,1
299,1,1,1,1,1,2,0.5,0.5
300,1,1,1,1,1,2,1,1
301,1,1,1,1,1,2,1,1
302,1,1,1,1,2,0,1,1
303,0.25,0.5,0,1,0.5,1,2,0.5
304,0.5,1,0.5,1,0.5,4,1,0.25
305,0.5,1,0.5,1,0.5,4,1,0.25
306,0.5,1,0.5,1,0.5,4,1,0.25
307,1,1,1,1,2,0.5,1,2
308,1,1,1,1,2,0.5,1,2
309,1,1,1,0.5,1,1,1,0.5
310,1,1,1,0.5,1,1,1,0.5
311,1,1,1,0.5,1,1,1,0.5
312,1,1,1,0.5,1,1,1,0.5
313,1,1,1,1,1,0.5,2,2
314,1,1,1,1,1,0.5,2,2
315,1,1,1,0.5,0.5,0.5,2,2
316,0.5,1,1,1,0.5,0.5,1,1
317,0.5,1,1,1,0.5,0.5,1,1
318,2,0.5,1,2,2,2,0.5,1
319,2,0.5,1,2,2,2,0.5,1
320,1,1,1,2,1,1,0.5,1
321,1,1,1,2,1,1,0.5,1
322,0.5,1,1,0,0.5,1,0.5,1
323,0.5,1,1,0,0.5,1,0.5,1
324,0.5,1,1,1,0.5,1,0.5,1
325,2,2,1,1,1,0.5,1,1
326,2,2,1,1,1,0.5,1,1
327,1,1,1,1,1,2,1,1
328,1,1,1,0,1,1,1,1
329,1,1,2,0,2,1,0.5,1
330,1,1,2,0,2,1,0.5,1
331,2,1,1,0.5,1,1,2,2
332,4,0.5,1,0.5,2,2,2,2
333,0.5,1,1,2,1,1,1,1
334,0.5,1,2,1,2,0.5,0.5,1
335,1,1,1,1,1,2,1,1
336,0.5,1,1,1,0.5,0.5,1,1
337,2,2,1,1,1,1,0.5,0.5
338,2,2,1,1,1,1,0.5,0.5
339,1,1,1,0,1,1,0.5,1
340,1,1,1,0,1,1,0.5,1
341,1,1,1,2,1,1,0.5,1
342,2,0.5,1,2,2,2,0.5,1
343,2,2,1,0,1,0.5,1,1
344,2,2,1,0,1,0.5,1,1
345,2,1,1,0.5,1,2,1,1
346,2,1,1,0.5,1,2,1,1
347,1,1,1,1,1,1,1,1
348,1,1,1,1,1,1,1,1
349,1,1,1,2,1,1,0.5,1
350,1,1,1,2,1,1,0.5,1
351,1,1,1,1,1,2,1,1
352,1,1,1,1,1,2,1,1
353,0.5,2,1,1,1,0,1,1
354,0.5,2,1,1,1,0,1,1
355,0.5,2,1,1,1,0,1,1
356,0.5,2,1,1,1,0,1,1
357,1,1,1,1,1,0.5,2,2
358,2,2,1,1,1,0.5,1,1
359,2,0.5,1,1,2,2,1,1
360,2,2,1,1,1,0.5,1,1
361,1,1,1,1,1,2,2,1
362,1,1,1,1,1,2,2,1
363,1,1,1,2,1,2,1,1
364,1,1,1,2,1,2,1,1
365,1,1,1,2,1,2,1,1
366,1,1,1,2,1,1,0.5,1
367,1,1,1,2,1,1,0.5,1
368,1,1,1,2,1,1,0.5,1
369,1,1,1,2,1,2,0.25,0.5
370,1,1,1,2,1,1,0.5,1
371,1,1,2,0.5,2,1,0.5,1
372,1,1,2,0.5,2,1,0.5,1
373,0.5,1,2,1,2,0.5,0.5,1
374,1,2,0.5,1,0.5,1,2,0.5
375,1,2,0.5,1,0.5,1,2,0.5
376,1,2,0.5,1,0.5,1,2,0.5
377,1,1,1,1,1,2,0.5,0.5
378,1,1,1,1,1,2,2,1
379,0.5,1,0.5,1,0.5,2,2,0.5
380,2,2,2,0.5,2,0.5,0.5,1
381,2,2,2,0.5,2,0.5,0.5,1
382,1,1,1,2,1,1,0.5,1
383,1,1,1,0,1,1,1,1
384,0.5,1,2,1,2,0.5,0.5,1
385,1,2,0.5,1,0.5,1,2,0.5
386,2,2,1,1,1,0.5,1,1
387,2,1,1,0.5,1,1,2,2
388,2,1,1,0.5,1,1,2,2
389,2,1,1,0,1,1,2,2
390,0.5,1,1,1,0.5,1,0.5,1
391,0.25,0.5,1,1,1,1,0.5,2
392,0.25,0.5,1,1,1,1,0.5,2
393,1,1,1,2,1,1,0.5,1
394,1,1,1,2,1,1,0.5,1
395,0.5,1,0.5,2,0.5,2,1,0.5
396,0.5,1,1,2,1,1,1,1
397,0.5,1,1,2,1,1,1,1
398,0.5,1,1,2,1,1,1,1
399,1,1,1,1,1,2,1,1
400,1,1,1,2,1,2,0.5,1
401,1,1,1,1,1,0.5,2,2
402,1,1,1,1,1,0.5,2,2
403,1,1,1,0.5,1,1,1,0.5
404,1,1,1,0.5,1,1,1,0.5
405,1,1,1,0.5,1,1,1,0.5
406,1,1,1,0.5,0.5,0.5,2,2
407,1,1,1,0.5,0.5,0.5,2,2
408,1,1,1,1,1,2,0.5,0.5
409,1,1,1,1,1,2,0.5,0.5
410,0.5,1,0.5,1,0.5,4,1,0.25
411,0.5,1,0.5,1,0.5,4,1,0.25
412,1,1,1,1,1,0.5,2,2
413,2,1,1,0.5,1,0.5,4,4
414,0.5,1,1,2,1,0.25,2,2
415,0.5,1,1,2,1,0.25,2,2
416,0.5,1,1,2,1,0.25,2,2
417,1,1,1,0.5,1,1,1,0.5
418,1,1,1,2,1,1,0.5,1
419,1,1,1,2,1,1,0.5,1
420,2,1,1,0.5,1,1,2,2
421,2,1,1,0.5,1,1,2,2
422,1,1,1,2,1,1,0.5,1
423,1,1,1,0,1,1,0.5,1
424,1,1,1,1,1,2,1,1
425,0.25,2,1,2,1,0,1,1
426,0.25,2,1,2,1,0,1,1
427,1,1,1,1,1,2,1,1
428,1,1,1,1,1,2,1,1
429,0.5,2,1,1,1,0,1,1
430,1,0.5,1,2,2,1,1,1
431,1,1,1,1,1,2,1,1
432,1,1,1,1,1,2,1,1
433,2,2,1,1,1,0.5,1,1
434,1,0.5,1,1,1,1,1,1
435,1,0.5,1,1,1,1,1,1
436,1,2,0.5,1,0.5,1,2,0.5
437,1,2,0.5,1,0.5,1,2,0.5
438,1,1,1,1,1,2,0.5,0.5
439,1,1,0,1,1,0.25,1,1
440,1,1,1,1,1,2,1,1
441,0.5,1,1,2,1,1,1,1
442,1,1,1,1,2,0,1,1
443,1,1,2,0,2,1,0.5,1
444,1,1,2,0,2,1,0.5,1
445,1,1,2,0,2,1,0.5,1
446,1,1,1,1,1,2,1,1
447,0.5,0.5,1,1,2,1,1,2
448,0.25,0.5,0.5,1,1,2,2,1
449,1,1,1,0,1,1,1,1
450,1,1,1,0,1,1,1,1
451,0.5,1,1,1,0.5,0.25,2,2
452,1,0.5,1,1,1,1,1,1
453,0.25,0.5,1,1,1,0.5,1,2
454,0.25,0.5,1,1,1,0.5,1,2
455,2,1,1,0.5,1,1,2,2
456,1,1,1,2,1,1,0.5,1
457,1,1,1,2,1,1,0.5,1
458,0.5,1,1,4,1,0.5,0.5,1
459,2,1,1,0.5,1,2,4,2
460,2,1,1,0.5,1,2,4,2
461,2,0.5,1,1,2,4,2,1
462,0.5,1,0.5,0.5,0.5,2,2,0.25
463,1,1,1,1,1,2,1,1
464,1,1,1,0,1,2,0.5,0.5
465,2,1,1,0.5,1,1,2,2
466,1,1,1,0.5,1,1,1,0.5
467,0.5,1,1,1,0.5,1,0.5,1
468,0.25,0.5,0,2,1,0.25,1,1
469,0.5,1,1,2,1,0.25,2,2
470,2,1,1,0.5,1,1,2,2
471,1,1,1,1,1,2,2,1
472,0.5,1,1,0,1,0.5,1,1
473,1,1,1,0,1,2,2,1
474,1,1,1,1,1,2,1,1
475,1,1,1,1,2,0.5,1,2
476,0.5,1,0.5,1,0.5,4,1,0.25
477,0.5,2,1,1,1,0,1,1
478,0.5,2,1,1,1,0,2,1
479,0.5,2,1,0.5,1,0,1,0.5
480,2,2,1,1,1,0.5,1,1
481,2,2,1,1,1,0.5,1,1
482,2,2,1,1,1,0.5,1,1
483,0.5,1,1,0.5,1,2,1,0.5
484,1,1,2,1,2,1,0.25,1
485,0.25,1,0.5,1,0.25,2,1,0.5
486,1,1,1,1,1,2,1,1
487,0.5,2,2,0.5,2,0,0.5,1
488,2,2,1,1,1,0.5,1,1
489,1,1,1,2,1,1,0.5,1
490,1,1,1,2,1,1,0.5,1
491,2,0.5,1,1,2,2,1,1
492,2,1,1,0.5,1,1,2,2
493,1,1,1,1,1,2,1,1
494,1,2,1,1,0.5,0.5,0.5,1
495,2,1,1,0.5,1,1,2,2
496,2,1,1,0.5,1,1,2,2
497,2,1,1,0.5,1,1,2,2
498,0.5,1,1,1,0.5,1,0.5,1
499,0.25,0.5,1,1,1,1,0.5,2
500,0.25,0.5,1,1,1,1,0.5,2
501,1,1,1,2,1,1,0.5,1
502,1,1,1,2,1,1,0.5,1
503,1,1,1,2,1,1,0.5,1
504,1,1,1,1,1,2,1,1
505,1,1,1,1,1,2,1,1
506,1,1,1,1,1,2,1,1
507,1,1,1,1,1,2,1,1
508,1,1,1,1,1,2,1,1
509,2,0.5,1,1,2,2,1,1
510,2,0.5,1,1,2,2,1,1
511,2,1,1,0.5,1,1,2,2
512,2,1,1,0.5,1,1,2,2
513,0.5,1,1,1,0.5,1,0.5,1
514,0.5,1,1,1,0.5,1,0.5,1
515,1,1,1,2,1,1,0.5,1
516,1,1,1,2,1,1,0.5,1
517,2,2,1,1,1,0.5,1,1
518,2,2,1,1,1,0.5,1,1
519,0.5,1,1,2,1,1,1,1
520,0.5,1,1,2,1,1,1,1
521,0.5,1,1,2,1,1,1,1
522,1,1,1,0.5,1,1,1,0.5
523,1,1,1,0.5,1,1,1,0.5
524,1,1,1,1,1,2,0.5,0.5
525,1,1,1,1,1,2,0.5,0.5
526,1,1,1,1,1,2,0.5,0.5
527,1,2,1,2,1,0.25,1,1
528,1,2,1,2,1,0.25,1,1
529,1,1,1,0,1,1,1,1
530,0.5,1,0.5,0,0.5,2,2,0.5
531,1,1,1,1,1,2,1,1
532,0.5,0.5,1,1,2,1,1,2
533,0.5,0.5,1,1,2,1,1,2
534,0.5,0.5,1,1,2,1,1,2
535,1,1,1,2,1,1,0.5,1
536,1,1,1,0,1,1,0.5,1
537,1,1,1,0,1,1,0.5,1
538,0.5,0.5,1,1,2,1,1,2
539,0.5,0.5,1,1,2,1,1,2
540,2,1,1,0.5,1,0.5,4,4
541,2,1,1,0.5,1,0.5,4,4
542,2,1,1,0.5,1,0.5,4,4
543,0.5,1,1,1,0.5,0.25,2,2
544,0.5,1,1,1,0.5,0.25,2,2
545,0.5,1,1,1,0.5,0.25,2,2
546,1,0.5,0,0.5,1,0.5,2,2
547,1,0.5,0,0.5,1,0.5,2,2
548,2,1,1,0.5,1,1,2,2
549,2,1,1,0.5,1,1,2,2
550,1,1,1,2,1,1,0.5,1
551,2,0.5,1,0,2,2,1,1
552,2,0.5,1,0,2,2,1,1
553,2,0.5,1,0,2,2,1,1
554,0.5,1,1,1,0.5,1,0.5,1
555,0.5,1,1,1,0.5,1,0.5,1
556,2,1,1,0.5,1,1,2,2
557,1,1,1,1,1,1,1,1
558,1,1,1,1,1,1,1,1
559,1,0.25,1,1,4,2,1,2
560,1,0.25,1,1,4,2,1,2
561,1,2,1,2,1,0.25,1,1
562,0.5,2,1,1,1,0,1,1
563,0.5,2,1,1,1,0,1,1
564,1,1,1,2,1,2,0.25,0.5
565,1,1,1,2,1,2,0.25,0.5
566,0.5,1,1,2,1,1,0.5,0.5
567,0.5,1,1,2,1,1,0.5,0.5
568,0.5,1,1,1,0.5,0.5,1,1
569,0.5,1,1,1,0.5,0.5,1,1
570,2,0.5,1,1,2,2,1,1
571,2,0.5,1,1,2,2,1,1
572,1,1,1,1,1,2,1,1
573,1,1,1,1,1,2,1,1
574,2,2,1,1,1,0.5,1,1
575,2,2,1,1,1,0.5,1,1
576,2,2,1,1,1,0.5,1,1
577,2,2,1,1,1,0.5,1,1
578,2,2,1,1,1,0.5,1,1
579,2,2,1,1,1,0.5,1,1
580,0.5,1,1,4,1,0.5,0.5,1
581,0.5,1,1,4,1,0.5,0.5,1
582,1,1,1,1,1,2,2,1
583,1,1,1,1,1,2,2,1
584,1,1,1,1,1,2,2,1
585,2,1,1,0.5,1,2,2,2
586,2,1,1,0.5,1,2,2,2
587,0.5,1,1,1,1,0.5,1,0.5
588,1,1,1,1,1,0.5,2,2
589,0.5,1,0.5,1,0.5,1,4,1
590,1,1,1,0.5,0.5,0.5,2,2
591,1,1,1,0.5,0.5,0.5,2,2
592,0.5,2,1,2,1,0,0.5,1
593,0.5,2,1,2,1,0,0.5,1
594,1,1,1,2,1,1,0.5,1
595,1,1,1,0.5,1,0.5,2,1
596,1,1,1,0.5,1,0.5,2,1
597,1,1,0.5,0.5,0.5,2,4,1
598,1,1,0.5,0.5,0.5,2,4,1
599,0.5,1,0.5,1,0.5,2,2,0.5
600,0.5,1,0.5,1,0.5,2,2,0.5
601,0.5,1,0.5,1,0.5,2,2,0.5
602,1,1,1,0.5,1,1,1,0.5
603,1,1,1,0.5,1,1,1,0.5
604,1,1,1,0.5,1,1,1,0.5
605,2,2,1,1,1,0.5,1,1
606,2,2,1,1,1,0.5,1,1
607,0.25,2,1,1,0.5,0,0.5,1
608,0.25,2,1,1,0.5,0,0.5,1
609,0.25,2,1,1,0.5,0,0.5,1
610,1,1,2,0.5,2,1,0.5,1
611,1,1,2,0.5,2,1,0.5,1
612,1,1,2,0.5,2,1,0.5,1
613,1,1,1,1,1,2,2,1
614,1,1,1,1,1,2,2,1
615,1,1,1,1,1,2,2,1
616,1,1,1,1,1,0.5,2,2
617,1,1,1,1,1,0.5,2,2
618,1,1,1,0,1,1,1,0.5
619,0.5,0.5,1,1,2,1,1,2
620,0.5,0.5,1,1,2,1,1,2
621,1,1,2,0.5,2,1,0.5,1
622,0.5,2,1,0,1,0,1,1
623,0.5,2,1,0,1,0,1,1
624,1,0.5,0.5,1,1,4,2,0.5
625,1,0.5,0.5,1,1,4,2,0.5
626,1,1,1,1,1,2,1,1
627,0.5,1,1,2,1,1,1,1
628,0.5,1,1,2,1,1,1,1
629,1,0.5,1,2,2,1,1,1
630,1,0.5,1,2,2,1,1,1
631,0.5,1,1,1,0.5,1,0.5,1
632,0.5,1,0.5,1,0.5,1,4,1
633,2,0.5,2,0.5,4,2,0.5,1
634,2,0.5,2,0.5,4,2,0.5,1
635,2,0.5,2,0.5,4,2,0.5,1
636,0.5,1,1,1,0.5,0.5,1,2
637,0.5,1,1,1,0.5,0.5,1,2
638,0.25,0.5,0.5,1,1,2,2,1
639,0.5,0.5,1,1,2,2,0.5,1
640,1,0.5,1,0.5,2,1,2,4
641,0.5,1,1,2,1,0.5,1,1
642,0.5,1,1,1,1,0.5,1,0.5
643,0.5,1,2,0.5,1,1,0.25,1
644,1,1,2,0.25,2,1,0.5,0.5
645,0.5,1,1,0,1,0.5,1,1
646,1,1,2,0.5,2,2,1,1
647,0.5,0.5,1,2,2,1,0.5,2
648,2,2,1,1,1,1,1,1
649,0.5,1,0.5,1,0.5,1,4,1
650,2,1,1,0.5,1,1,2,2
651,2,1,1,0.5,1,1,2,2
652,1,0.5,1,0.5,2,1,2,4
653,0.5,1,1,1,0.5,1,0.5,1
