pokedex_number,percentage_male,sp_attack,sp_defense,speed
211,50,55,55,85
212,50,65,100,75
213,50,10,230,5
214,50,40,105,75
215,50,35,75,115
216,50,50,50,40
217,50,75,75,55
218,50,70,40,20
219,50,90,80,30
220,50,30,30,50
221,50,60,60,50
222,24.6,65,95,35
223,50,65,35,65
224,50,105,75,45
225,50,65,45,75
226,50,80,140,70
227,50,40,70,70
228,50,80,50,65
229,50,140,90,115
230,50,95,95,85
231,50,40,40,40
232,50,60,60,50
233,,105,95,60
234,50,85,65,85
235,50,20,45,75
236,100,35,35,35
237,100,35,110,70
238,0,85,65,65
239,75.4,65,55,95
240,75.4,70,55,83
241,0,40,70,100
242,0,75,135,55
243,,115,100,115
244,,90,75,100
245,,90,115,85
246,50,45,50,41
247,50,65,70,51
248,50,95,120,71
249,,90,154,110
250,,110,154,90
251,,100,100,100
252,88.1,65,55,70
253,88.1,85,65,95
254,88.1,145,85,145
255,88.1,70,50,45
256,88.1,85,60,55
257,88.1,130,80,100
258,88.1,50,50,40
259,88.1,60,70,50
260,88.1,95,110,70
261,50,30,30,35
262,50,60,60,70
263,50,30,41,60
264,50,50,61,100
265,50,20,30,20
266,50,25,25,15
267,50,100,50,65
268,50,25,25,15
269,50,50,90,65
270,50,40,50,30
271,50,60,70,50
272,50,90,100,70
273,50,30,30,30
274,50,60,40,60
275,50,90,60,80
276,50,30,30,85
277,50,75,50,125
278,50,55,30,85
279,50,95,70,65
280,50,45,35,40
281,50,65,55,50
282,50,165,135,100
283,50,50,52,65
284,50,100,82,80
285,50,40,60,35
286,50,60,60,70
287,50,35,35,30
288,50,55,55,90
289,50,95,65,100
290,50,30,30,40
291,50,50,50,160
292,,30,30,40
293,50,51,23,28
294,50,71,43,48
295,50,91,73,68
296,75.4,20,30,25
297,75.4,40,60,50
298,24.6,20,40,20
299,50,45,90,30
300,24.6,35,35,50
301,24.6,55,55,90
302,50,85,115,20
303,50,55,95,50
304,50,40,40,30
305,50,50,50,40
306,50,60,80,50
307,50,40,55,60
308,50,80,85,100
309,50,65,40,65
310,50,135,80,135
311,50,85,75,95
312,50,75,85,95
313,100,47,85,85
314,0,73,85,85
315,50,100,80,65
316,50,43,53,40
317,50,73,83,55
318,50,65,20,65
319,50,110,65,105
320,50,70,35,60
321,50,90,45,60
322,50,65,45,35
323,50,145,105,20
324,50,85,70,20
325,50,70,80,60
326,50,90,110,80
327,50,60,60,60
328,50,45,45,10
329,50,50,50,70
330,50,80,80,100
331,50,85,40,35
332,50,115,60,55
333,50,40,75,50
334,50,110,105,80
335,50,60,60,90
336,50,100,60,65
337,,95,85,70
338,,55,65,70
339,50,46,41,60
340,50,76,71,60
341,50,50,35,35
342,50,90,55,55
343,,40,70,55
344,,70,120,75
345,88.1,61,87,23
346,88.1,81,107,43
347,88.1,40,50,75
348,88.1,70,80,45
349,50,10,55,80
350,50,100,125,81
351,50,70,70,70
352,50,60,120,40
353,50,63,33,45
354,50,93,83,75
355,50,30,90,25
356,50,60,130,25
357,50,72,87,51
358,50,95,90,65
359,50,115,60,115
360,50,23,48,23
361,50,50,50,50
362,50,120,80,100
363,50,55,50,25
364,50,75,70,45
365,50,95,90,65
366,50,74,55,32
367,50,94,75,52
368,50,114,75,52
369,88.1,45,65,55
370,24.6,40,65,97
371,50,40,30,50
372,50,60,50,50
373,50,120,90,120
374,,35,60,30
375,,55,80,50
376,,105,110,110
377,,50,100,50
378,,100,200,50
379,,75,150,50
380,0,140,150,110
381,100,160,120,110
382,,180,160,90
383,,150,90,90
384,,180,100,115
385,,100,100,100
386,,95,90,180
387,88.1,45,55,31
388,88.1,55,65,36
389,88.1,75,85,56
390,88.1,58,44,61
391,88.1,78,52,81
392,88.1,104,71,108
393,88.1,61,56,40
394,88.1,81,76,50
395,88.1,111,101,60
396,50,30,30,60
397,50,40,40,80
398,50,50,60,100
399,50,35,40,31
400,50,55,60,71
401,50,25,41,25
402,50,55,51,65
403,50,40,34,45
404,50,60,49,60
405,50,95,79,70
406,50,50,70,55
407,50,125,105,90
408,88.1,30,30,58
409,88.1,65,50,58
410,88.1,42,88,30
411,88.1,47,138,30
412,50,29,45,36
413,0,69,95,36
414,100,94,50,66
415,88.1,30,42,70
416,0,80,102,40
417,50,45,90,95
418,50,60,30,85
419,50,85,50,115
420,50,62,53,35
421,50,87,78,85
422,50,57,62,34
423,50,92,82,39
424,50,60,66,115
425,50,60,44,70
426,50,90,54,80
427,50,44,56,85
428,50,54,96,135
429,50,105,105,105
430,50,105,52,71
431,24.6,42,37,85
432,24.6,64,59,112
433,50,65,50,45
434,50,41,41,74
435,50,71,61,84
436,,24,86,23
437,,79,116,33
438,50,10,45,10
439,50,70,90,60
440,0,15,65,30
441,50,92,42,91
442,50,92,108,35
443,50,40,45,42
444,50,50,55,82
445,50,120,95,92
446,88.1,40,85,5
447,88.1,35,40,60
448,88.1,140,70,112
449,50,38,42,32
450,50,68,72,47
451,50,30,55,65
452,50,60,75,95
453,50,61,40,50
454,50,86,65,85
455,50,90,72,46
456,50,49,61,66
457,50,69,86,91
458,50,60,120,50
459,50,62,60,40
460,50,132,105,30
461,50,45,85,125
462,,130,90,60
463,50,80,95,50
464,50,55,55,40
465,50,110,50,50
466,75.4,95,85,95
467,75.4,125,95,83
468,88.1,120,115,80
469,50,116,56,95
470,88.1,60,65,95
471,88.1,130,95,65
472,50,45,75,95
473,50,70,60,80
474,,135,75,90
475,100,65,115,110
476,50,75,150,40
477,50,65,135,45
478,0,80,70,110
479,,105,107,86
480,,75,130,95
481,,105,105,80
482,,125,70,115
483,,150,100,90
484,,150,120,100
485,50,130,106,77
486,,80,110,100
487,,120,100,90
488,0,75,130,85
489,,80,80,80
490,,100,100,100
491,,135,90,125
492,,120,75,127
493,,120,120,120
494,,100,100,100
495,88.1,45,55,63
496,88.1,60,75,83
497,88.1,75,95,113
498,88.1,45,45,45
499,88.1,70,55,55
500,88.1,100,65,65
501,88.1,63,45,45
502,88.1,83,60,60
503,88.1,108,70,70
504,50,35,39,42
505,50,60,69,77
506,50,25,45,55
507,50,35,65,60
508,50,45,90,80
509,50,50,37,66
510,50,88,50,106
511,88.1,53,48,64
512,88.1,98,63,101
513,88.1,53,48,64
514,88.1,98,63,101
515,88.1,53,48,64
516,88.1,98,63,101
517,50,67,55,24
518,50,107,95,29
519,50,36,30,43
520,50,50,42,65
521,50,65,55,93
522,50,50,32,76
523,50,80,63,116
524,50,25,25,15
525,50,50,40,20
526,50,60,80,25
527,50,55,43,72
528,50,77,55,114
529,50,30,45,68
530,50,50,65,88
531,50,80,126,50
532,75.4,25,35,35
533,75.4,40,50,40
534,75.4,55,65,45
535,50,50,40,64
536,50,65,55,69
537,50,85,75,74
538,100,30,85,45
539,100,30,75,85
540,50,40,60,42
541,50,50,80,42
542,50,70,80,92
543,50,30,39,57
544,50,40,79,47
545,50,55,69,112
546,50,37,50,66
547,50,77,75,116
548,0,70,50,30
549,0,110,75,90
550,50,80,55,98
551,50,35,35,65
552,50,45,45,74
553,50,65,70,92
554,50,15,45,50
555,50,140,105,55
556,50,106,67,60
557,50,35,35,55
558,50,65,75,45
559,50,35,70,48
560,50,45,115,58
561,50,103,80,97
562,50,55,65,30
563,50,95,105,30
564,88.1,53,45,22
565,88.1,83,65,32
566,88.1,74,45,70
567,88.1,112,65,110
568,50,40,62,65
569,50,60,82,75
570,88.1,80,40,65
571,88.1,120,60,105
572,24.6,40,40,75
573,24.6,65,60,115
574,24.6,55,65,45
575,24.6,75,85,55
576,24.6,95,110,65
577,50,105,50,20
578,50,125,60,30
579,50,125,85,30
580,50,44,50,55
581,50,87,63,98
582,50,65,60,44
583,50,80,75,59
584,50,110,95,79
585,50,40,50,75
586,50,60,70,95
587,50,75,60,103
588,50,40,45,60
589,50,60,105,20
590,50,55,55,15
591,50,85,80,30
592,50,65,85,40
593,50,85,105,60
594,50,40,45,65
595,50,57,50,65
596,50,97,60,108
597,50,24,86,10
598,50,54,116,20
599,,45,60,30
600,,70,85,50
601,,70,85,90
602,50,45,40,60
603,50,75,70,40
604,50,105,80,50
605,50,85,55,30
606,50,125,95,40
607,50,65,55,20
608,50,95,60,55
609,50,145,90,80
610,50,30,40,57
611,50,40,50,67
612,50,60,70,97
613,50,60,40,40
614,50,70,80,50
615,,95,135,105
616,50,40,65,25
617,50,100,60,145
618,50,81,99,32
619,50,55,50,65
620,50,95,60,105
621,50,60,90,48
622,,35,50,35
623,,55,80,55
624,50,40,40,60
625,50,60,70,70
626,50,40,95,55
627,100,37,50,60
628,100,57,75,80
629,0,45,65,60
630,0,55,95,80
631,50,105,66,65
632,50,48,48,109
633,50,45,50,38
634,50,65,70,58
635,50,125,90,98
636,50,50,55,60
637,50,135,105,100
638,,90,72,108
639,,72,90,108
640,,90,129,108
641,100,110,90,121
642,100,145,80,101
643,,150,120,90
644,,120,100,90
645,100,105,80,91
646,,170,100,95
647,,129,90,108
648,,77,77,128
649,,120,95,99
650,88.1,48,45,38
651,88.1,56,58,57
652,88.1,74,75,64
653,88.1,62,60,60
654,88.1,90,70,73
655,88.1,114,100,104
656,88.1,62,44,71
657,88.1,83,56,97
658,88.1,153,71,132
659,50,32,36,57
660,50,50,77,78
661,50,40,38,62
662,50,56,52,84
663,50,74,69,126
664,50,27,25,35
665,50,27,30,29
666,50,90,50,89
667,11.2,73,54,72
668,11.2,109,66,106
669,0,61,79,42
670,0,125,128,92
671,0,112,154,75
672,50,62,57,52
673,50,97,81,68
674,50,46,48,43
675,50,69,71,58
676,50,65,90,102
677,50,63,60,68
678,50,83,81,104
679,50,35,37,28
680,50,45,49,35
681,50,150,50,60
682,50,63,65,23
683,50,99,89,29
684,50,59,57,49
685,50,85,75,72
686,50,37,46,45
687,50,68,75,73
688,50,39,56,50
689,50,54,86,68
690,50,60,60,30
691,50,97,123,44
692,50,58,63,44
693,50,120,89,59
694,50,61,43,70
695,50,109,94,109
696,88.1,45,45,48
697,88.1,69,59,71
698,88.1,67,63,46
699,88.1,99,92,58
700,88.1,110,130,60
701,50,74,63,118
702,50,81,67,101
703,,50,150,50
704,50,55,75,40
705,50,83,113,60
706,50,110,150,80
707,50,80,87,75
708,50,50,60,38
709,50,65,82,56
710,50,44,55,41
711,50,58,75,54
712,50,32,35,28
713,50,44,46,28
714,50,45,40,55
715,50,97,80,123
716,,131,98,99
717,,131,98,99
718,,91,95,85
719,,160,110,110
720,,170,130,80
721,,130,90,70
722,88.1,50,50,42
723,88.1,70,70,52
724,88.1,100,100,70
725,88.1,60,40,70
726,88.1,80,50,90
727,88.1,80,90,60
728,88.1,66,56,40
729,88.1,91,81,50
730,88.1,126,116,60
731,50,30,30,65
732,50,40,50,75
733,50,75,75,60
734,50,30,30,45
735,50,55,60,45
736,50,55,45,46
737,50,55,75,36
738,50,145,75,43
739,50,42,47,63
740,50,62,67,43
741,24.6,98,70,93
742,50,55,40,84
743,50,95,70,124
744,50,30,40,60
745,50,55,75,82
746,50,140,135,30
747,50,43,52,45
748,50,53,142,35
749,50,45,55,45
750,50,55,85,35
751,50,40,72,27
752,50,50,132,42
753,50,50,35,35
754,50,80,90,45
755,50,65,75,15
756,50,90,100,30
757,88.1,71,40,77
758,0,111,60,117
759,50,45,50,50
760,50,55,60,60
761,0,30,38,32
762,0,40,48,62
763,0,50,98,72
764,24.6,82,110,100
765,50,90,110,60
766,50,40,60,80
767,50,20,30,80
768,50,60,90,40
769,50,70,45,15
770,50,100,75,35
771,50,30,130,5
772,,95,95,59
773,,95,95,95
774,,100,60,120
775,50,75,95,65
776,50,91,85,36
777,50,40,73,96
778,50,50,105,96
779,50,70,70,92
780,50,135,91,36
781,,86,90,40
782,50,45,45,45
783,50,65,70,65
784,50,100,105,85
785,,95,75,130
786,,130,115,95
787,,85,95,75
788,,95,130,85
789,,29,31,37
790,,29,131,37
791,,113,89,97
792,,137,107,97
793,,127,131,103
794,,53,53,79
795,,137,37,151
796,,173,71,83
797,,107,101,61
798,,59,31,109
799,,97,53,43
800,,127,89,79
801,,130,115,65
